hID,impressions,posts impressions,video views,views,clicks,impressions to posts impressions,impressions to video views,impressions to views,impressions to clicks
-5.27995E+18,12106932,160260,24880,8408,301,1.32,0.21,0.07,0
-5.27243E+18,46266,33385,4972,11640,0,72.16,10.75,25.16,0
-5.27189E+18,1759004,1631426,250284,111841,0,92.75,14.23,6.36,0
-5.25323E+18,64307,52848,0,9924,0,82.18,0,15.43,0
-5.20798E+18,29728461,29710827,6349990,84608,17,99.94,21.36,0.28,0
-5.19385E+18,1776,1310,91,641,0,73.76,5.12,36.09,0
-5.13712E+18,58218,56162,14666,1642,0,96.47,25.19,2.82,0
-5.13507E+18,20317,16389,6183,3016,44,80.67,30.43,14.84,0.22
-5.12768E+18,56,1,0,42,0,1.79,0,75,0
-5.09736E+18,422819,417979,67217,6271,0,98.86,15.9,1.48,0
-5.04912E+18,7748305,7599835,4294139,119820,0,98.08,55.42,1.55,0
-5.03514E+18,1228412,1220891,4187,6795,39,99.39,0.34,0.55,0
-5.03314E+18,4,0,0,4,0,0,0,100,0
-4.95866E+18,733464,678881,62283,21419,139,92.56,8.49,2.92,0.02
-4.93605E+18,6984,6144,869,1023,0,87.97,12.44,14.65,0
-4.82947E+18,9,3,0,6,0,33.33,0,66.67,0
-4.82494E+18,3524,2610,340,1142,0,74.06,9.65,32.41,0
-4.79868E+18,998295400,975423918,47926656,142931,1989,97.71,4.8,0.01,0
-4.76475E+18,52578,45742,1457,3555,0,87,2.77,6.76,0
-4.74716E+18,171,17,0,240,0,9.94,0,140.35,0
-4.73107E+18,3123,2316,113,1166,3,74.16,3.62,37.34,0.1
-4.72048E+18,115091,108539,708,4680,0,94.31,0.62,4.07,0
-4.71244E+18,24584,21359,3109,4104,0,86.88,12.65,16.69,0
-4.71243E+18,19865,14752,0,5611,0,74.26,0,28.25,0
-4.68673E+18,11099,9120,0,2155,0,82.17,0,19.42,0
-4.66674E+18,10160863,9988320,3885714,5042,105,98.3,38.24,0.05,0
-4.66541E+18,37854,34287,5079,4172,85,90.58,13.42,11.02,0.22
-4.61468E+18,460024,455600,1177,5627,0,99.04,0.26,1.22,0
-4.58405E+18,495,426,55,92,0,86.06,11.11,18.59,0
-4.5455E+18,7993807,7715180,1411114,67965,0,96.51,17.65,0.85,0
-4.53808E+18,124827,115916,30489,11197,158,92.86,24.43,8.97,0.13
-4.51636E+18,28887,27028,7968,2406,28,93.56,27.58,8.33,0.1
-4.51352E+18,1061,67,0,960,0,6.31,0,90.48,0
-4.41111E+18,13685,11797,657,1993,0,86.2,4.8,14.56,0
-4.4058E+18,2918720,2884943,1032392,9852,284,98.84,35.37,0.34,0.01
-4.40558E+18,161,83,0,112,0,51.55,0,69.57,0
-4.39779E+18,45127,42083,5764,1530,0,93.25,12.77,3.39,0
-4.32636E+18,51673808,50941678,16479382,395876,1202,98.58,31.89,0.77,0
